StarID,RA,Dec,Spectrum
241,0.06951519,49.87020726,K0          
242,0.06957517,39.12012608,F8          
243,0.06965601,11.26438632,M0          
244,0.06996871,-30.13491782,B8V         
245,0.07046214,62.2876646,A1III       
246,0.07072227,-34.41465369,F6V         
247,0.07092391,60.15501928,B0          
248,0.07106789,14.08162325,A0          
249,0.07110448,65.1529611,K5          
250,0.07124759,-59.31518062,A1V         
251,0.07158887,-43.98832631,F6V         
252,0.07215592,-16.52888969,K0III       
253,0.07230497,-29.26883006,A1V         
254,0.07252055,-53.90948292,K1III       
255,0.07257999,54.27460172,B3V         
256,0.07258669,12.95705512,G5          
257,0.07302629,-29.38157885,B8/B9V      
258,0.07328727,-57.32287483, 
259,0.07350819,-47.06812971,K0V         
260,0.07503398,-10.50949443,K3Ibvar     
261,0.07504679,-6.96533727,G0          
262,0.07514627,-72.8972207,F2V         
263,0.07595728,-76.34653399,G8III       
264,0.07652,-71.69499867,K0III       
265,0.07678062,43.55131855,C5II        
266,0.07683119,-31.16905083,K1IV        
267,0.07683225,42.09256148,B9III       
268,0.07707171,2.93722463,K2          
269,0.07729352,-51.58336438,K1III       
270,0.07770637,-70.40421693,K0/K1III    
271,0.07773199,-8.18490648,K2          
272,0.07780296,34.26519797,K0          
273,0.07810426,6.52258527,K0          
274,0.07812589,-71.43685835,B8III       
275,0.07812793,14.96533616,F5IV        
276,0.07828819,67.16638761,K1III       
277,0.07853087,17.06977988,G5          
278,0.07901243,51.53385066,A2          
279,0.07925813,0.05649086,F0          
280,0.0795241,1.53694172,A5          
281,0.08054272,38.78622411,F2          
282,0.08078072,-29.63304603,A0IV        
283,0.08079734,43.97079063,G0          
284,0.081101,30.08593131,F5          
285,0.08144852,34.65955259,G2V         
286,0.08147751,-30.25661295,A0IV/V      
287,0.08164042,-31.99660262,K2III       
288,0.08168672,52.2489413,A0          
289,0.08193512,58.53217392,B3V         
290,0.08220199,26.64879958,K4IIIb      
291,0.082244,23.26964739,G9V         
292,0.08228172,56.0569593,K5          
293,0.08232957,64.78140759,F5          
294,0.08248028,-18.17850304,G3V         
295,0.08263399,51.18064908,K2          
296,0.08264115,45.67395209,F8V         
297,0.08292832,26.72525618,M0          
298,0.08295163,-70.21220744,G5V         
299,0.08300179,57.46874679,G9III       
300,0.08307259,-70.49241628,F5V         
301,0.08364842,27.67479979,G8II        
302,0.0838372,66.5167896,F5          
303,0.08402276,-36.01527326,G0V         
304,0.08414982,-59.82810463,G6III       
305,0.0842532,9.28002796,F2          
306,0.0842934,1.03782858,G5          
307,0.08438794,-0.50290553,G9III:      
308,0.08503682,61.31396468,B8MNp...    
309,0.08524741,-42.56781669,G8/K0V      
310,0.08544451,-52.15142338,G0V         
311,0.0857839,67.84002075,K0          
312,0.08590585,30.32911509,F0          
313,0.08603193,-62.84527102,G0V         
314,0.0860502,45.22907883,A1Vn        
315,0.08609592,-43.85083352,K1III       
316,0.08615511,2.39731072,G5          
317,0.08615576,45.78693438,M2          
318,0.08619619,-32.46851165,K1III       
319,0.08679901,36.30368114,F5          
320,0.08694525,35.57110311,A2          
321,0.08829689,-67.8312267,K5V         
322,0.08830088,48.47719511,G5          
323,0.08845774,-1.79412136,G5          
324,0.08885129,68.8844091,B9          
325,0.08886447,-38.85723115,G8III/IV    
326,0.0888975,-21.31530277,B9V         
327,0.08892938,-5.70783255,K1III       
328,0.08897037,-37.3516811,M2V         
329,0.08910683,-59.81448691,K2III       
330,0.08934144,-56.95562054,A1Vs        
331,0.08946002,8.7879537,G4V:p       
332,0.0894865,-79.25391278,K0III       
333,0.08951419,3.60610712,G5          
334,0.08999652,28.54375172,K7          
335,0.09007748,16.32907717,G0          
336,0.09040796,-3.85159559,K0          
337,0.09066964,-14.42209198,K0III       
338,0.09102882,-37.30254152,K0III       
339,0.09111921,-42.88738421,M3III       
340,0.09117504,-7.66532823,K5          
341,0.09120887,-61.22566452,G5V         
342,0.09131763,22.22467477,G5          
343,0.09140457,34.10565584,F8          
344,0.09197453,-9.61729691,F5          
345,0.09272844,76.28582649,K2          
346,0.09303173,53.17169568,K0          
347,0.09326412,-61.30989474,K0III       
348,0.09340207,-51.26045604,K3/K4III    
349,0.09359807,43.40143611,B1.5IV      
350,0.0943665,55.7099023,K0III       
351,0.09452151,45.81245496,K2          
352,0.09467993,44.46868671,A0          
353,0.09488884,58.31365552,G0          
354,0.09498215,13.39628227,G5III       
355,0.09534461,-15.36550173,K1III       
356,0.09566975,17.84032678,F2+...      
357,0.09651865,47.08729369,A0          
358,0.09790781,-41.7528821,G0V         
359,0.09799795,12.52743978,K0          
360,0.09856701,18.23536692,F8          
361,0.09864757,-68.81162782,F8V         
362,0.0987676,18.07622626,K0...       
363,0.09908583,24.56904604,K5          
364,0.09917931,49.62234797,A3          
365,0.09952054,44.73937991,A3          
366,0.10003646,-39.13751717,K3III       
367,0.10014949,28.27696051,K5III       
368,0.10029297,16.45207976,G5          
369,0.10089094,24.91664125,K1III-IV    
370,0.10094255,63.67965857,O6pe        
371,0.10097587,53.27691513,A2          
372,0.10115884,-84.09820798,K3III       
373,0.10118211,40.41853643,G5          
374,0.10222844,9.71496461,F5          
375,0.10223438,0.12143808,G5          
376,0.10251778,-29.15139035,B9V         
377,0.10316432,87.88938595,K0          
378,0.10365537,-1.88705095,F8          
379,0.10394045,-32.81635348,M1III       
380,0.10425238,-55.49869634,F5IV/V      
381,0.10431626,58.43668966,G5V         
382,0.10466732,-64.24051492,F3IV        
383,0.10470338,-10.77847003,M...        
384,0.10518401,-1.2380176,K2          
385,0.10518422,-49.07509405,G1IV...     
386,0.10525068,-65.83919547,M4          
387,0.10553383,-12.01719883,F6/F7V      
388,0.10559558,40.89871965,K0          
389,0.10560644,60.45712221,F0          
390,0.10577002,68.63612309,K2          
391,0.10693367,-18.03825665,F2IV        
392,0.10721191,42.75275856,G1V         
393,0.10736857,64.19616859,B9III       
394,0.10943351,43.78227474,F8          
395,0.10987378,28.55343687,G9III       
396,0.10996725,56.51450029,A0          
397,0.11014736,29.02193518,K0V         
398,0.11068798,33.65427137,K0          
399,0.11078956,-36.08467578,G8III       
400,0.11100387,-24.62067192,F7V         
401,0.11113095,70.16926509,K0          
402,0.11162177,56.32466451,B9          
403,0.1130383,-4.34981191,F8          
404,0.11304938,23.49381547,F4IVws      
405,0.11311733,-70.58944075,K5p...      
406,0.1138957,-23.10742543,F2IV        
407,0.11406501,20.55974087,G5          
408,0.11407859,31.13044847,K0          
409,0.11453446,1.86101143,F8          
410,0.11480464,-38.87768936,K0III       
411,0.11482463,-55.16079775,K3III       
412,0.11498691,-3.62572272,G0          
413,0.11559346,38.20259978,G5          
414,0.11563983,-43.98527,G8III       
415,0.11652847,-40.41400635,F3IV/V      
416,0.1165768,53.97486354,A           
417,0.11722052,22.84448874,F0          
418,0.11734206,5.28802852,M...        
419,0.11738043,-18.82075644,F5          
